Year CollectionDate Gene Subtype Syn Distance Outlier
2010 2009.575 1-PB2 H3N2 S 14 no
2010 2009.542 1-PB2 H3N2 S 16 no
2010 2010.227 1-PB2 H3N2 S 15 no
2010 2010.449 1-PB2 H3N2 S 19 no
2010 2010.419 1-PB2 H3N2 S 18 no
2010 2009.531 1-PB2 H3N2 S 15 no
2010 2010.359 1-PB2 H3N2 S 16 no
2010 2009.583 1-PB2 H3N2 S 14 no
2010 2010.301 1-PB2 H3N2 S 22 no
2010 2010.381 1-PB2 H3N2 S 26 no
2010 2010.468 1-PB2 H3N2 S 17 no
2010 2009.572 1-PB2 H3N2 S 17 no
2010 2010.499 1-PB2 H3N2 S 25 no
2010 2009.578 1-PB2 H3N2 S 14 no
2010 2010.43 1-PB2 H3N2 S 18 no
2010 2009.512 1-PB2 H3N2 S 16 no
2010 2010.427 1-PB2 H3N2 S 18 no
2010 2009.575 1-PB2 H3N2 S 15 no
2010 2010.427 1-PB2 H3N2 S 17 no
2010 2010 1-PB2 H3N2 S 19 no
2010 2009.8 1-PB2 H3N2 S 18 no
2010 2010.068 1-PB2 H3N2 S 17 no
2010 2009.551 1-PB2 H3N2 S 16 no
2010 2009.844 1-PB2 H3N2 S 21 no
2010 2009.54 1-PB2 H3N2 S 15 no
2010 2010.427 1-PB2 H3N2 S 19 no
2010 2009.551 1-PB2 H3N2 S 15 no
2010 2009.534 1-PB2 H3N2 S 14 no
2011 2010.816 1-PB2 H3N2 S 25 no
2011 2010.816 1-PB2 H3N2 S 25 no
2011 2010.937 1-PB2 H3N2 S 26 no
2011 2010.803 1-PB2 H3N2 S 24 no
2011 2011.381 1-PB2 H3N2 S 27 no
2011 2010.86 1-PB2 H3N2 S 23 no
2011 2010.904 1-PB2 H3N2 S 19 no
2011 2010.745 1-PB2 H3N2 S 15 no
2011 2010.69 1-PB2 H3N2 S 19 no
2011 2010.671 1-PB2 H3N2 S 25 no
2011 2010.586 1-PB2 H3N2 S 24 no
2011 2011.474 1-PB2 H3N2 S 16 no
2011 2010.699 1-PB2 H3N2 S 20 no
2011 2010.852 1-PB2 H3N2 S 24 no
2011 2010.819 1-PB2 H3N2 S 24 no
2011 2011.005 1-PB2 H3N2 S 16 no
