Year CollectionDate Gene Subtype Syn Distance DivPerSite
1972 1972 1-PB2 H3N2 S 53 0.0930257152253856
1972 1972 1-PB2 H3N2 S 54 0.0947809173994495
1972 1972 1-PB2 H3N2 S 56 0.0982913217475773
1972 1972 1-PB2 H3N2 S 54 0.0947809173994495
1972 1972 1-PB2 H3N2 S 56 0.0982913217475773
1972 1972 1-PB2 H3N2 S 53 0.0930257152253856
1972 1972 1-PB2 H3N2 S 53 0.0930257152253856
1972 1972 1-PB2 H3N2 S 54 0.0947809173994495
1972 1972 1-PB2 H3N2 S 54 0.0947809173994495
1972 1972 1-PB2 H3N2 S 53 0.0930257152253856
1972 1972 1-PB2 H3N2 S 58 0.101801726095705
1972 1972 1-PB2 H3N2 S 54 0.0947809173994495
1972 1972 1-PB2 H3N2 S 54 0.0947809173994495
1972 1972 1-PB2 H3N2 S 53 0.0930257152253856
1972 1972 1-PB2 H3N2 S 54 0.0947809173994495
1972 1972 1-PB2 H3N2 S 56 0.0982913217475773
1972 1972 1-PB2 H3N2 S 56 0.0982913217475773
1972 1972 1-PB2 H3N2 S 54 0.0947809173994495
2000 2000.107 1-PB2 H3N2 S 123 0.215889867409857
2000 2000 1-PB2 H3N2 S 121 0.212379463061729
2000 1999.995 1-PB2 H3N2 S 121 0.212379463061729
2000 2000 1-PB2 H3N2 S 123 0.215889867409857
2000 2000.014 1-PB2 H3N2 S 122 0.214134665235793
2000 2000.06 1-PB2 H3N2 S 124 0.217645069583921
2000 1999.967 1-PB2 H3N2 S 123 0.215889867409857
2000 2000 1-PB2 H3N2 S 123 0.215889867409857
2000 1999.959 1-PB2 H3N2 S 123 0.215889867409857
2000 2000 1-PB2 H3N2 S 121 0.212379463061729
2000 2000.093 1-PB2 H3N2 S 119 0.208869058713602
2000 1999.896 1-PB2 H3N2 S 124 0.217645069583921
2000 1999.953 1-PB2 H3N2 S 123 0.215889867409857
2000 2000.071 1-PB2 H3N2 S 124 0.217645069583921
2000 1999.986 1-PB2 H3N2 S 119 0.208869058713602
2000 2000 1-PB2 H3N2 S 120 0.210624260887666
2000 2000 1-PB2 H3N2 S 123 0.215889867409857
2000 2000.101 1-PB2 H3N2 S 122 0.214134665235793
2000 2000 1-PB2 H3N2 S 122 0.214134665235793
2000 2000 1-PB2 H3N2 S 120 0.210624260887666
2000 2000.011 1-PB2 H3N2 S 120 0.210624260887666
2000 2000.074 1-PB2 H3N2 S 123 0.215889867409857
2000 2000 1-PB2 H3N2 S 128 0.224665878280177
2000 2000.011 1-PB2 H3N2 S 120 0.210624260887666
2000 1999.986 1-PB2 H3N2 S 122 0.214134665235793
2000 1999.926 1-PB2 H3N2 S 124 0.217645069583921
2000 1999.833 1-PB2 H3N2 S 122 0.214134665235793
2000 1999.956 1-PB2 H3N2 S 123 0.215889867409857
2000 2000.107 1-PB2 H3N2 S 124 0.217645069583921
2000 1999.953 1-PB2 H3N2 S 124 0.217645069583921
2000 2000.063 1-PB2 H3N2 S 122 0.214134665235793
2000 1999.74 1-PB2 H3N2 S 118 0.207113856539538
2000 2000.341 1-PB2 H3N2 S 126 0.221155473932049
2000 2000 1-PB2 H3N2 S 122 0.214134665235793
2000 2000.005 1-PB2 H3N2 S 120 0.210624260887666
2000 1999.756 1-PB2 H3N2 S 119 0.208869058713602
2000 2000.046 1-PB2 H3N2 S 124 0.217645069583921
2000 2000 1-PB2 H3N2 S 122 0.214134665235793
2000 2000 1-PB2 H3N2 S 121 0.212379463061729
2000 2000.005 1-PB2 H3N2 S 121 0.212379463061729
2000 2000 1-PB2 H3N2 S 123 0.215889867409857
2000 2000.025 1-PB2 H3N2 S 120 0.210624260887666
2000 2000.164 1-PB2 H3N2 S 121 0.212379463061729
2000 2000 1-PB2 H3N2 S 121 0.212379463061729
2000 1999.778 1-PB2 H3N2 S 118 0.207113856539538
2000 2000.098 1-PB2 H3N2 S 123 0.215889867409857
2000 1999.932 1-PB2 H3N2 S 125 0.219400271757985
2000 2000.008 1-PB2 H3N2 S 120 0.210624260887666
2000 1999.923 1-PB2 H3N2 S 123 0.215889867409857
2000 1999.855 1-PB2 H3N2 S 118 0.207113856539538
1998 1997.91 1-PB2 H3N2 S 113 0.198337845669218
1998 1998.115 1-PB2 H3N2 S 117 0.205358654365474
1998 1997.973 1-PB2 H3N2 S 115 0.201848250017346
1998 1997.594 1-PB2 H3N2 S 118 0.207113856539538
1998 1997.559 1-PB2 H3N2 S 113 0.198337845669218
1998 1997.583 1-PB2 H3N2 S 118 0.207113856539538
1998 1998.463 1-PB2 H3N2 S 113 0.198337845669218
1998 1998.011 1-PB2 H3N2 S 111 0.194827441321091
1998 1998.088 1-PB2 H3N2 S 119 0.208869058713602
1998 1998 1-PB2 H3N2 S 113 0.198337845669218
1998 1997.581 1-PB2 H3N2 S 115 0.201848250017346
1998 1998.036 1-PB2 H3N2 S 110 0.193072239147027
1998 1997.975 1-PB2 H3N2 S 115 0.201848250017346
1998 1997.984 1-PB2 H3N2 S 118 0.207113856539538
1998 1998.068 1-PB2 H3N2 S 116 0.20360345219141
1998 1998.11 1-PB2 H3N2 S 115 0.201848250017346
1998 1998.118 1-PB2 H3N2 S 114 0.200093047843282
1998 1998.011 1-PB2 H3N2 S 116 0.20360345219141
1998 1997.978 1-PB2 H3N2 S 114 0.200093047843282
1998 1998.047 1-PB2 H3N2 S 120 0.210624260887666
1998 1998.134 1-PB2 H3N2 S 115 0.201848250017346
1998 1997.975 1-PB2 H3N2 S 119 0.208869058713602
1998 1997.929 1-PB2 H3N2 S 118 0.207113856539538
1998 1997.997 1-PB2 H3N2 S 113 0.198337845669218
1998 1998.123 1-PB2 H3N2 S 119 0.208869058713602
1998 1997.959 1-PB2 H3N2 S 113 0.198337845669218
1998 1997.97 1-PB2 H3N2 S 113 0.198337845669218
1998 1998.159 1-PB2 H3N2 S 119 0.208869058713602
1998 1998.077 1-PB2 H3N2 S 113 0.198337845669218
1998 1998.019 1-PB2 H3N2 S 120 0.210624260887666
1998 1998.088 1-PB2 H3N2 S 116 0.20360345219141
1998 1998.142 1-PB2 H3N2 S 114 0.200093047843282
1998 1998.033 1-PB2 H3N2 S 114 0.200093047843282
1998 1998.394 1-PB2 H3N2 S 116 0.20360345219141
1998 1998.005 1-PB2 H3N2 S 115 0.201848250017346
1998 1997.559 1-PB2 H3N2 S 118 0.207113856539538
1998 1998.214 1-PB2 H3N2 S 113 0.198337845669218
