Year Gene BinFreq NS S ProportionNS NumVariants
2018 8-NS1 0.001 49 62 0.441441441441441 111
2018 8-NS1 0.00316227766016838 16 25 0.390243902439024 41
2018 8-NS1 0.01 3 7 0.3 10
2018 8-NS1 0.0316227766016838 7 3 0.7 10
2018 8-NS1 0.1 0 2 0 2
2018 8-NS1 0.316227766016838 5 4 0.555555555555556 9
within-host 1-PB2 0.00316227766016838 392 193 0.67008547008547 585
within-host 2-PB1 0.00316227766016838 256 175 0.593967517401392 431
within-host 3-PA 0.00316227766016838 375 194 0.659050966608084 569
within-host 4-HA 0.00316227766016838 297 163 0.645652173913044 460
within-host 5-NP 0.00316227766016838 209 176 0.542857142857143 385
within-host 6-NA 0.00316227766016838 173 97 0.640740740740741 270
within-host 7-M1 0.00316227766016838 82 61 0.573426573426573 143
within-host 7-M2 0.00316227766016838 45 39 0.535714285714286 84
within-host 8-NEP 0.00316227766016838 53 33 0.616279069767442 86
within-host 8-NS1 0.00316227766016838 125 67 0.651041666666667 192
within-host 1-PB2 0.01 153 110 0.581749049429658 263
within-host 2-PB1 0.01 117 128 0.477551020408163 245
within-host 3-PA 0.01 170 115 0.596491228070175 285
within-host 4-HA 0.01 183 108 0.628865979381443 291
within-host 5-NP 0.01 122 112 0.521367521367521 234
within-host 6-NA 0.01 85 41 0.674603174603175 126
within-host 7-M1 0.01 51 20 0.71830985915493 71
within-host 7-M2 0.01 19 4 0.826086956521739 23
within-host 8-NEP 0.01 44 23 0.656716417910448 67
within-host 8-NS1 0.01 75 33 0.694444444444444 108
within-host 1-PB2 0.0316227766016838 55 39 0.585106382978723 94
within-host 2-PB1 0.0316227766016838 31 31 0.5 62
within-host 3-PA 0.0316227766016838 46 36 0.560975609756098 82
within-host 4-HA 0.0316227766016838 55 49 0.528846153846154 104
within-host 5-NP 0.0316227766016838 37 35 0.513888888888889 72
within-host 6-NA 0.0316227766016838 24 21 0.533333333333333 45
within-host 7-M1 0.0316227766016838 13 5 0.722222222222222 18
within-host 7-M2 0.0316227766016838 0 4 0 4
within-host 8-NEP 0.0316227766016838 15 6 0.714285714285714 21
within-host 8-NS1 0.0316227766016838 16 8 0.666666666666667 24
within-host 1-PB2 0.1 14 12 0.538461538461538 26
within-host 2-PB1 0.1 20 5 0.8 25
within-host 3-PA 0.1 15 15 0.5 30
within-host 4-HA 0.1 17 15 0.53125 32
within-host 5-NP 0.1 4 9 0.307692307692308 13
within-host 6-NA 0.1 20 7 0.740740740740741 27
within-host 7-M1 0.1 2 6 0.25 8
within-host 7-M2 0.1 1 0 1 1
within-host 8-NEP 0.1 3 2 0.6 5
within-host 8-NS1 0.1 7 2 0.777777777777778 9
within-host 1-PB2 0.316227766016838 5 14 0.263157894736842 19
within-host 2-PB1 0.316227766016838 3 7 0.3 10
within-host 3-PA 0.316227766016838 2 3 0.4 5
within-host 4-HA 0.316227766016838 7 5 0.583333333333333 12
within-host 5-NP 0.316227766016838 3 0 1 3
within-host 6-NA 0.316227766016838 3 0 1 3
within-host 7-M1 0.316227766016838 2 2 0.5 4
within-host 7-M2 0.316227766016838 0 0 NA 0
within-host 8-NEP 0.316227766016838 0 0 NA 0
within-host 8-NS1 0.316227766016838 0 3 0 3
within-host 1-PB2 0.00316227766016838 353 164 0.682785299806576 517
within-host 2-PB1 0.00316227766016838 236 185 0.560570071258907 421
within-host 3-PA 0.00316227766016838 435 224 0.660091047040971 659
within-host 4-HA 0.00316227766016838 328 197 0.624761904761905 525
within-host 5-NP 0.00316227766016838 191 158 0.547277936962751 349
within-host 6-NA 0.00316227766016838 182 113 0.616949152542373 295
within-host 7-M1 0.00316227766016838 86 71 0.547770700636943 157
within-host 7-M2 0.00316227766016838 44 12 0.785714285714286 56
within-host 8-NEP 0.00316227766016838 57 45 0.558823529411765 102
within-host 8-NS1 0.00316227766016838 140 58 0.707070707070707 198
within-host 1-PB2 0.01 141 90 0.61038961038961 231
within-host 2-PB1 0.01 111 87 0.560606060606061 198
within-host 3-PA 0.01 167 101 0.623134328358209 268
within-host 4-HA 0.01 220 123 0.641399416909621 343
within-host 5-NP 0.01 151 90 0.62655601659751 241
