MinFreq Project Subtype Sample NumVariants
0 flu-Dinis H3N2 U131392 1157
0 flu-Dinis H3N2 U131545 1005
0 flu-Dinis H3N2 V130075 610
0 flu-Dinis H3N2 V130083 649
0 flu-Dinis H3N2 V130122 457
0 flu-Dinis H3N2 V130176 1023
0 flu-Dinis H3N2 V130179 754
0 flu-Dinis H3N2 V130258 1474
0 flu-Dinis H3N2 V130286 1068
0 flu-Dinis H3N2 V130302 1391
0 flu-Dinis H3N2 V130470 1266
0 flu-Dinis H3N2 V130536 1102
0 flu-Dinis H3N2 V130636 1004
0 flu-Dinis H3N2 V130651 1139
0 flu-Dinis H3N2 V130659 915
0 flu-Dinis H3N2 V130701 888
0 flu-Dinis H3N2 V130744 957
0 flu-Dinis H3N2 V130764 427
0 flu-Dinis H3N2 V130800 1441
0 flu-Dinis H3N2 V130828 1022
0 flu-Dinis H3N2 V131003 1100
0 flu-Dinis H3N2 V131145 1151
0 flu-Dinis H3N2 V131150 1131
0 flu-Dinis H3N2 V131159 1332
0 flu-Dinis H3N2 V131172 1187
0 flu-Dinis H3N2 V131184 1428
0 flu-Dinis H3N2 V131188 1068
0 flu-Dinis H3N2 V131208 1292
0 flu-Dinis H3N2 V131305 1046
0 flu-Dinis H3N2 V131329 918
0 flu-Dinis H3N2 V131358 925
0 flu-Dinis pdmH1N1 U140092 765
0 flu-Dinis pdmH1N1 U140093 899
0 flu-Dinis pdmH1N1 U140097 1327
0 flu-Dinis pdmH1N1 U140100 1070
0 flu-Dinis pdmH1N1 U140103 989
0 flu-Dinis pdmH1N1 U140104 819
0 flu-Dinis pdmH1N1 U140106 1162
0 flu-Dinis pdmH1N1 U140116 849
0 flu-Dinis pdmH1N1 U140118 460
0 flu-Dinis pdmH1N1 U140119 992
0 flu-Dinis pdmH1N1 U140123 975
0 flu-Dinis pdmH1N1 U140126 986
0 flu-Dinis pdmH1N1 U140136 795
0 flu-Dinis pdmH1N1 U140144 1010
0 flu-Dinis pdmH1N1 U140146 704
0 flu-Dinis pdmH1N1 U140148 879
0 flu-Dinis pdmH1N1 U140154 690
0 flu-Dinis pdmH1N1 U140168 793
0 flu-Dinis pdmH1N1 U140173 834
0 flu-Dinis pdmH1N1 U140179 776
0 flu-Dinis pdmH1N1 U140185 920
0 flu-Dinis pdmH1N1 U140189 913
0 flu-Dinis pdmH1N1 U140208 749
0 flu-Dinis pdmH1N1 U140219 1106
0 flu-Dinis pdmH1N1 U140225 1024
0 flu-Dinis pdmH1N1 U140229 914
0 flu-Dinis pdmH1N1 U140244 1063
0 flu-Dinis pdmH1N1 U140247 977
0 flu-Dinis pdmH1N1 U140248 715
0 flu-Dinis pdmH1N1 U140261 967
0 flu-Dinis pdmH1N1 V140022 995
0 flu-Dinis pdmH1N1 V140032 1200
0 flu-Dinis pdmH1N1 V140094 932
0 flu-Dinis pdmH1N1 V140172 825
0 flu-Dinis pdmH1N1 V140211 952
0 flu-Dinis pdmH1N1 V140222 1082
0 flu-Dinis pdmH1N1 V140227 976
0 flu-Dinis pdmH1N1 V140241 1062
0 flu-Dinis pdmH1N1 V140258 770
0 flu-Dinis pdmH1N1 V140586 1002
0 flu-Dinis pdmH1N1 V140687 729
0 flu-Dinis pdmH1N1 V140704 912
0 flu-McCrone H3N2 1102 13129
0 flu-McCrone H3N2 1121 13131
0 flu-McCrone H3N2 1122 13129
0 flu-McCrone H3N2 1125 13129
0 flu-McCrone H3N2 1134 13133
0 flu-McCrone H3N2 1139 13132
0 flu-McCrone H3N2 1149 13129
0 flu-McCrone H3N2 1150 13131
0 flu-McCrone H3N2 1153 13127
0 flu-McCrone H3N2 1154 13131
0 flu-McCrone H3N2 1162 13130
0 flu-McCrone H3N2 1164 13133
0 flu-McCrone H3N2 1165 13133
0 flu-McCrone H3N2 1168 13133
0 flu-McCrone H3N2 1171 13132
0 flu-McCrone H3N2 1173 13133
0 flu-McCrone H3N2 1174 13132
0 flu-McCrone H3N2 1175 13130
0 flu-McCrone H3N2 1179 13132
0 flu-McCrone H3N2 1185 13121
0 flu-McCrone H3N2 1201 13127
0 flu-McCrone H3N2 1203 13133
0 flu-McCrone H3N2 1204 13130
0 flu-McCrone H3N2 1205 13131
0 flu-McCrone H3N2 1213 13120
0 flu-McCrone H3N2 1217 12713
0 flu-McCrone H3N2 1221 13133
0 flu-McCrone H3N2 1225 13132
0 flu-McCrone H3N2 1227 13125
0 flu-McCrone H3N2 1228 13133
0 flu-McCrone H3N2 1229 13131
0 flu-McCrone H3N2 1230 13133
0 flu-McCrone H3N2 1231 13133
0 flu-McCrone H3N2 1232 13133
0 flu-McCrone H3N2 1237 13131
0 flu-McCrone H3N2 1238 13131
0 flu-McCrone H3N2 1240 13131
0 flu-McCrone H3N2 1241 13125
0 flu-McCrone H3N2 1242 13131
0 flu-McCrone H3N2 1245 13128
0 flu-McCrone H3N2 1303 13131
0 flu-McCrone H3N2 1305 13129
0 flu-McCrone H3N2 1307 13133
0 flu-McCrone H3N2 1310 13133
0 flu-McCrone H3N2 1313 13133
0 flu-McCrone H3N2 1317 13133
0 flu-McCrone H3N2 1321 13133
0 flu-McCrone H3N2 1323 13132
0 flu-McCrone H3N2 1340 13133
0 flu-McCrone H3N2 HS1250 13132
0 flu-McCrone H3N2 HS1253 13133
0 flu-McCrone H3N2 HS1255 13128
0 flu-McCrone H3N2 HS1256 13125
0 flu-McCrone H3N2 HS1284 13127
0 flu-McCrone H3N2 HS1294 13132
0 flu-McCrone H3N2 HS1313 13080
0 flu-McCrone H3N2 HS1327 13070
0 flu-McCrone H3N2 HS1328 13100
0 flu-McCrone H3N2 HS1335 13095
0 flu-McCrone H3N2 HS1336 13089
0 flu-McCrone H3N2 HS1340 13116
0 flu-McCrone H3N2 HS1341 13127
0 flu-McCrone H3N2 HS1342 13111
0 flu-McCrone H3N2 HS1345 13132
0 flu-McCrone H3N2 HS1349 13088
0 flu-McCrone H3N2 HS1351 13105
0 flu-McCrone H3N2 HS1357 13128
0 flu-McCrone H3N2 HS1364 13114
0 flu-McCrone H3N2 HS1367 13108
0 flu-McCrone H3N2 HS1369 13119
0 flu-McCrone H3N2 HS1375 13122
0 flu-McCrone H3N2 HS1376 13087
0 flu-McCrone H3N2 HS1377 13073
0 flu-McCrone H3N2 HS1381 13133
0 flu-McCrone H3N2 HS1385 12908
0 flu-McCrone H3N2 HS1387 13113
0 flu-McCrone H3N2 HS1388 13128
0 flu-McCrone H3N2 HS1390 13082
0 flu-McCrone H3N2 HS1391 13113
0 flu-McCrone H3N2 HS1392 13118
0 flu-McCrone H3N2 HS1393 13098
0 flu-McCrone H3N2 HS1394 13118
0 flu-McCrone H3N2 HS1401 13133
0 flu-McCrone H3N2 HS1402 13131
0 flu-McCrone H3N2 HS1405 13126
0 flu-McCrone H3N2 HS1408 13124
0 flu-McCrone H3N2 HS1409 13125
0 flu-McCrone H3N2 HS1413 13103
0 flu-McCrone H3N2 HS1416 13133
0 flu-McCrone H3N2 HS1417 13123
0 flu-McCrone H3N2 HS1421 13129
0 flu-McCrone H3N2 HS1425 13125
0 flu-McCrone H3N2 HS1427 13133
0 flu-McCrone H3N2 HS1445 13099
0 flu-McCrone H3N2 HS1448 13129
0 flu-McCrone H3N2 HS1450 13131
0 flu-McCrone H3N2 HS1455 13133
0 flu-McCrone H3N2 HS1457 13129
0 flu-McCrone H3N2 HS1460 13118
0 flu-McCrone H3N2 HS1461 13133
0 flu-McCrone H3N2 HS1463 13093
0 flu-McCrone H3N2 HS1465 13125
0 flu-McCrone H3N2 HS1473 13065
0 flu-McCrone H3N2 HS1474 13086
